LATITUDE,LONGITUDE,INJURIES_INCAPACITATING
41.99701269118182,-87.763511406,12
41.76463751684616,-87.67484189384616,12
41.7800298025,-87.65458652483333,12
41.8020171031,-87.6219463374,12
41.851290055625,-87.685619225625,12
41.878427566,-87.61734587977779,12
41.92395757633333,-87.74614505888889,12
41.89856333391666,-87.76621015891668,12
41.77493555475,-87.60583144924999,11
41.76584564522222,-87.59596668977777,11
41.75859071554545,-87.61044999981819,11
41.953965722,-87.6499990394,11
41.7655681519,-87.6224977654,11
41.877422039625,-87.64725056225,11
41.909463595,-87.76554884454545,11
41.892193712,-87.7257895745,11
41.90998623944444,-87.71544790777779,11
41.7821947403,-87.66440269590001,11
41.751616833111115,-87.57603181233334,11
41.84488816454546,-87.68554504027271,11
41.74999679709091,-87.64407267318182,11
41.9974261006,-87.808787916,11
41.7805966691,-87.5846472751,11
41.80912425527273,-87.63188016863636,11
41.75087345411111,-87.62994614933334,11
41.76594526477778,-87.586169402,11
41.92554889745455,-87.64893900690909,11
41.93131021166667,-87.76623326733333,11
41.7459823561,-87.5854757022,11
41.792462848499994,-87.7231034941,11
41.866070867000005,-87.73500932125,11
41.96103589727273,-87.74798450072727,11
41.7873599765,-87.60603470725,11
41.882697489428566,-87.70099908314286,11
41.976201139,-87.90530912499999,11
41.946662888,-87.687385146,11
41.79882564725,-87.74291463366666,11
41.87747277691667,-87.73566863491668,11
41.907333494,-87.745756216,11
41.953449095555555,-87.7473476068889,11
41.9094971819,-87.7461464779,11
41.87820277171429,-87.62445609157143,11
41.89550161975,-87.720361954125,11
41.849162457,-87.627001072,11
41.9246093598,-87.66870614,11
41.8896427663,-87.686637207,11
41.87476222981818,-87.62756357618183,11
41.90249022522222,-87.62437401177777,11
41.876373531625,-87.6666417995,11
41.830990136222226,-87.60594757533333,11
41.965142687416666,-87.64695691691666,11
41.923861705375,-87.775595126875,11
41.9977672868,-87.6902291452,11
41.7355893065,-87.7214150896,11
41.81727882228571,-87.743523086,11
41.898359069375,-87.745667154125,11
41.90873971766667,-87.67491849333334,10
41.8665722465,-87.67631021325,10
41.9755855172,-87.7286634124,10
41.830489138333334,-87.66644886122222,10
41.7727172039,-87.6835719928,10
41.924184561857146,-87.75587363528572,10
41.896725074299994,-87.6339531015,10
41.885799166,-87.64506958816666,10
41.9106870007,-87.6883708222,10
41.7871521327,-87.6326064613,10
41.95314940466667,-87.77672944344444,10
41.7870718532,-87.6532397326,10
41.80009349666667,-87.72314701916667,10
41.88368209428571,-87.74541672314285,10
41.99300965481819,-87.78348960390909,10
41.86647027027273,-87.70485483863636,10
41.82627524785714,-87.6847513692857,10
41.805252562285716,-87.68422848471428,10
41.812471406600004,-87.7236414069,10
41.92361499525,-87.800001257625,10
41.9388336166,-87.7264350504,10
41.808362833125,-87.69403283825,10
41.9682405634,-87.728809174,10
41.76364907866667,-87.63002683433335,10
41.77782125,-87.7227470657,10
41.78043674316667,-87.58713980116666,10
41.760088331999995,-87.68323758977778,10
41.954035852,-87.6454494087,10
41.8004014595,-87.70380342050001,10
41.851340295374996,-87.7334774415,10
41.90931394966666,-87.77419929011111,10
41.79465465788889,-87.62408542244445,10
41.923860226555554,-87.76725723277778,10
41.81665503266667,-87.62034276322223,10
41.881742050666666,-87.67666546788888,10
41.910115642375004,-87.702282507625,10
41.85291487911111,-87.63850223055556,10
41.8735317985,-87.701000383875,10
41.870323927166666,-87.73520397516667,10
